../rpf2x0_Binningv3_Inputv3_SR_Unblind_PN_2/Signal_M1MeV_SR-2x0_area, ../rpf2x0_Binningv3_Inputv3_SR_Unblind_PN_2/Signal_M10MeV_SR-2x0_area, ../rpf2x0_Binningv3_Inputv3_SR_Unblind_PN_2/Signal_M100MeV_SR-2x0_area, ../rpf2x0_Binningv3_Inputv3_SR_Unblind_PN_2/Signal_M1000MeV_SR-2x0_area
0.333, 3.333, 33.333, 333.333
20, 20, 20, 20
16.9810370539, 0.5700092405570001, 0.00302747553809, 1.59818140797e-08
33.9620741078, 1.1400184811140002, 0.00605495107618, 3.19636281594e-08
84.9051852695, 2.850046202785, 0.01513737769045, 7.99090703985e-08
135.8482964312, 4.560073924456001, 0.02421980430472, 1.278545126376e-07
169.810370539, 5.70009240557, 0.0302747553809, 1.59818140797e-07
339.620741078, 11.40018481114, 0.0605495107618, 3.19636281594e-07
509.43111161699994, 17.10027721671, 0.09082426614269999, 4.794544223909999e-07
679.241482156, 22.80036962228, 0.1210990215236, 6.39272563188e-07
849.051852695, 28.500462027850002, 0.1513737769045, 7.99090703985e-07
1358.482964312, 45.60073924456, 0.2421980430472, 1.278545126376e-06
1698.10370539, 57.000924055700004, 0.302747553809, 1.59818140797e-06
3396.20741078, 114.00184811140001, 0.605495107618, 3.19636281594e-06
8490.51852695, 285.0046202785, 1.5137377690449998, 7.990907039849999e-06
13584.82964312, 456.00739244560003, 2.421980430472, 1.278545126376e-05
16981.0370539, 570.009240557, 3.0274755380899996, 1.5981814079699998e-05
33962.0741078, 1140.018481114, 6.054951076179999, 3.1963628159399996e-05
84905.1852695, 2850.0462027850003, 15.13737769045, 7.99090703985e-05
135848.2964312, 4560.073924456, 24.219804304719997, 0.00012785451263759999
169810.370539, 5700.092405570001, 30.2747553809, 0.000159818140797
339620.741078, 11400.184811140001, 60.5495107618, 0.000319636281594
509431.111617, 17100.27721671, 90.8242661427, 0.000479454422391
679241.482156, 22800.369622280003, 121.0990215236, 0.000639272563188
849051.852695, 28500.462027850004, 151.3737769045, 0.000799090703985
1358482.964312, 45600.739244560005, 242.1980430472, 0.001278545126376
1698103.70539, 57000.92405570001, 302.747553809, 0.00159818140797
3396207.41078, 114001.84811140002, 605.495107618, 0.00319636281594
8490518.52695, 285004.6202785, 1513.737769045, 0.00799090703985
13584829.64312, 456007.39244560007, 2421.980430472, 0.01278545126376
16981037.0539, 570009.240557, 3027.47553809, 0.0159818140797
33962074.1078, 1140018.481114, 6054.95107618, 0.0319636281594
84905185.2695, 2850046.202785, 15137.37769045, 0.0799090703985
135848296.4312, 4560073.924456, 24219.80430472, 0.1278545126376
169810370.539, 5700092.40557, 30274.7553809, 0.159818140797
339620741.078, 11400184.81114, 60549.5107618, 0.319636281594
509431111.617, 17100277.21671, 90824.2661427, 0.47945442239099995
679241482.156, 22800369.62228, 121099.0215236, 0.639272563188
849051852.695, 28500462.027850002, 151373.7769045, 0.799090703985
1358482964.312, 45600739.24456, 242198.0430472, 1.278545126376
1698103705.39, 57000924.055700004, 302747.553809, 1.59818140797
3396207410.78, 114001848.11140001, 605495.107618, 3.19636281594
8490518526.95, 285004620.2785, 1513737.769045, 7.99090703985
13584829643.12, 456007392.44560003, 2421980.430472, 12.78545126376
16981037053.9, 570009240.557, 3027475.53809, 15.9818140797
