,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_PNBkg_SR.root,hpass,PNBkg_SR,Pseudo-Data,,,,,,
1,Signal_M1MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1MeV_SR.root,hpass,Signal_M1MeV_SR,DM Signal,,1.05,,lnN,,
2,Signal_M1MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1MeV_SR.root,hpass,Signal_M1MeV_SR,DM Signal,,,,,,
3,Signal_M10MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M10MeV_SR.root,hpass,Signal_M10MeV_SR,DM Signal,,1.05,,lnN,,
4,Signal_M10MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M10MeV_SR.root,hpass,Signal_M10MeV_SR,DM Signal,,,,,,
5,Signal_M100MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M100MeV_SR.root,hpass,Signal_M100MeV_SR,DM Signal,,1.05,,lnN,,
6,Signal_M100MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M100MeV_SR.root,hpass,Signal_M100MeV_SR,DM Signal,,,,,,
7,Signal_M1000MeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1000MeV_SR.root,hpass,Signal_M1000MeV_SR,DM Signal,,1.05,,lnN,,
8,Signal_M1000MeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1000MeV_SR.root,hpass,Signal_M1000MeV_SR,DM Signal,,,,,,
9,data_obs,fail,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_PNBkg_SR.root,hfail,PNBkg_SR,Pseudo-Data,,,,,,
10,Signal_M1MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1MeV_SR.root,hfail,Signal_M1MeV_SR,DM Signal,,1.05,,lnN,,
11,Signal_M1MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1MeV_SR.root,hfail,Signal_M1MeV_SR,DM Signal,,,,,,
12,Signal_M10MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M10MeV_SR.root,hfail,Signal_M10MeV_SR,DM Signal,,1.05,,lnN,,
13,Signal_M10MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M10MeV_SR.root,hfail,Signal_M10MeV_SR,DM Signal,,,,,,
14,Signal_M100MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M100MeV_SR.root,hfail,Signal_M100MeV_SR,DM Signal,,1.05,,lnN,,
15,Signal_M100MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M100MeV_SR.root,hfail,Signal_M100MeV_SR,DM Signal,,,,,,
16,Signal_M1000MeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1000MeV_SR.root,hfail,Signal_M1000MeV_SR,DM Signal,,1.05,,lnN,,
17,Signal_M1000MeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v4/NoHcalLDMX_Signal_M1000MeV_SR.root,hfail,Signal_M1000MeV_SR,DM Signal,,,,,,
