,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_ElectroNuclearBkg_SR.root,hpass,ElectroNuclearBkg_SR,ElectroNuclearBkg_SR,,,,,,
1,Signal_M1MeV_SR_random,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1MeV_SR_random.root,hpass,Signal_M1MeV_SR_random,DM Signal,,1.05,,lnN,,
2,Signal_M1MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1MeV_SR_random.root,hpass,Signal_M1MeV_SR_random,DM Signal,,,,,,
3,Signal_M10MeV_SR_random,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M10MeV_SR_random.root,hpass,Signal_M10MeV_SR_random,DM Signal,,1.05,,lnN,,
4,Signal_M10MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M10MeV_SR_random.root,hpass,Signal_M10MeV_SR_random,DM Signal,,,,,,
5,Signal_M100MeV_SR_random,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M100MeV_SR_random.root,hpass,Signal_M100MeV_SR_random,DM Signal,,1.05,,lnN,,
6,Signal_M100MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M100MeV_SR_random.root,hpass,Signal_M100MeV_SR_random,DM Signal,,,,,,
7,Signal_M1000MeV_SR_random,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hpass,Signal_M1000MeV_SR_random,DM Signal,,1.05,,lnN,,
8,Signal_M1000MeV_SR_random,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hpass,Signal_M1000MeV_SR_random,DM Signal,,,,,,
9,data_obs,fail,default,black,DATA,1,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_ElectroNuclearBkg_SR.root,hfail,ElectroNuclearBkg_SR,ElectroNuclearBkg_SR,,,,,,
10,Signal_M1MeV_SR_random,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1MeV_SR_random.root,hfail,Signal_M1MeV_SR_random,DM Signal,,1.05,,lnN,,
11,Signal_M1MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1MeV_SR_random.root,hfail,Signal_M1MeV_SR_random,DM Signal,,,,,,
12,Signal_M10MeV_SR_random,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M10MeV_SR_random.root,hfail,Signal_M10MeV_SR_random,DM Signal,,1.05,,lnN,,
13,Signal_M10MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M10MeV_SR_random.root,hfail,Signal_M10MeV_SR_random,DM Signal,,,,,,
14,Signal_M100MeV_SR_random,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M100MeV_SR_random.root,hfail,Signal_M100MeV_SR_random,DM Signal,,1.05,,lnN,,
15,Signal_M100MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M100MeV_SR_random.root,hfail,Signal_M100MeV_SR_random,DM Signal,,,,,,
16,Signal_M1000MeV_SR_random,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hfail,Signal_M1000MeV_SR_random,DM Signal,,1.05,,lnN,,
17,Signal_M1000MeV_SR_random,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v2/NoHcalLDMX_Signal_M1000MeV_SR_random.root,hfail,Signal_M1000MeV_SR_random,DM Signal,,,,,,
